City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Đồng Nai,Trảng Bom,An Viễn,Vào Khu Công Nghiệp Giang Điền,"Cho thuê nhà xưởng trong KCN Trảng Bom, Đồng Nai",6000.0,492.0,82000.0
Đồng Nai,Long Thành,Phước Bình,Hẻm 2391 51,"Cho thuê nhà xưởng trong cụm công nghiệp Phước Bình, Long Thành Đồng Nai",1400.0,65.0,46428.57142857143
Bà Rịa Vũng Tàu,Phú Mỹ,Phú Mỹ,Độc Lập,"Cho thuê kho, nhà xưởng Bà Rịa Vũng Tàu, Phú Mỹ. LH: 0904 483 ***",1000.0,50.0,50000.0
Đồng Nai,Trảng Bom,Xã Hố Nai 3,Cụm Công Nghiệp,"Cho thuê nhà xưởng trong cụm công nghiệp Hố Nai 3, Trảng Bom, Đồng Nai",4600.0,230.0,50000.0
Hồ Chí Minh,Quận 1,Cầu Ông Lãnh,Nguyễn Thái Học,Cho thuê mặt tiền Nguyễn Thái Học Quận 1 diện tích 650m2,650.0,104.0,160000.0
Cần Thơ,Bình Thủy,Trà Nóc,Trục Chính,"Cho thuê kho nhanh 4 kho 1860m2/kho tại lô số 8, đường trục chính, KCN Trà Nóc, Bình Thủy, Cần Thơ",1860.0,92.0,49462.36559139785
Hà Nội,Đông Anh,Kim Chung,Cổng Ba,"Cho thuê đất công nghiệp tại KCN Liên Hà 2 - Đông Anh, Hà Nội",10000.0,300.0,30000.0
Hưng Yên,Hưng Yên,Hiến Nam,Nguyễn Văn Linh,"Cho thuê nhà xưởng tại Mỹ Hào, Hưng Yên",844.0,35.448,42000.0
Đồng Nai,Long Khánh,Bình Lộc,Hẻm 80 Bình Lộc,"Cho thuê xưởng 5100m2 và 8000m2 KCN Long Khánh, Xã Bình Lộc, TP Long Khánh, Đồng Nai",5100.0,435.0,85294.11764705883
Đà Nẵng,Liên Chiểu,Hòa Khánh Bắc,Số 2,"Cho thuê 6500m2 kho nhà xưởng tại khu công nghiệp Hòa Khánh, Liên Chiểu, TP Đà Nẵng",6500.0,75.0,11538.46153846154
